DATE,APPEARANCE,ACCOMPANY,,,,
2019.03.28,3.27 제5차 중대장·중대정치지도원대회 참가자들과 기념촬영,"리명수,김수길,리영길,노광철",,,,
2019.03.27,3.25∼26 제5차 중대장·중대정치지도원대회 지도,"리명수,김수길,리영길,노광철",,,,
2019.03.10,3.10 최고인민회의 제14기 대의원선거 참가,,,,,
2019.03.03,"3.2 호치민 주석 묘 참배, 영웅열사추모비 헌화","김영철,리수용,김평해,오수용,리용호,노광철,김여정,최선희",,,,
2019.03.02,"3.1 베트남 국가주석과 상봉·정상회담, 베트남 총리 및 국회의장과 상봉·면담, 만찬연회 참석","김영철,리수용,김평해,오수용,리용호,노광철,김여정,최선희,김명길",,,,
2019.02.28,2.27~28 제2차 조미수뇌상봉과 회담,"김영철,리수용,김평해,오수용,리용호,노광철,김여정,최선희",,,,
2019.02.27,2.26 베트남 주재 북한대사관 방문,"김영철,리수용,김평해,오수용,리용호,김여정,김성남,조용원",,,,
2019.02.16,2.16 &apos;광명성절&apos; 즈음 금수산태양궁전 방문,"최룡해,리만건,김여정,리영식",,,,
2019.02.09,2.8 조선인민군 창건 71주년 계기 인민무력성 축하방문 및 경축공연 관람,"리명수,김수길,리영길,노광철,최룡해,리수용,김평해,태종수,오수용,김영철",,,,
2019.01.31,｢보도일 2019.2.1｣ 1.31 중국 방문 공연 후 귀국한 친선예술단을 만나 기념촬영,,,,,
2019.01.24,1.23 제2차 조미고위급회담 대표단 만나 방미정형보고 청취,김영철,,,,
2019.01.08,"1.7~1.10 중화인민공화국 방문 및 시진핑 주석과 상봉, 회담","리설주,김영철,리수용,박태성,리용호,노광철,김여정,리일환,최동명,지재룡",,,,
2019.01.01,2019년 새해 즈음 금수산태양궁전 방문,"김영남,최룡해,박봉주",,,,
2019.01.01,2019년  새해 신년사,,,,,
2018.12.29,제4차 농업부문열성자회의 참가자들과 기념사진 촬영,"최룡해,박봉주,로두철,박태덕,김능오,고인호,리철만,곽범기",,,,
2018.12.17,김정일 사망 7주기 즈음 금수산태양궁전 방문,,,,,
2018.12.03,원산구두공장 현지지도,"황병서,조용원,마원춘",,,,
2018.12.01,동해지구 수산사업소들 현지지도,"황병서,조용원,마원춘,서홍찬",,,,
2018.11.18,대관유리공장 현지지도,"최룡해,조용원,김용수,마원춘",,,,
2018.11.16,국방과학원 시험장 방문 및 첨단전술무기 시험 지도,"최룡해,리병철,조용원,김용수,박정천",,,,
2018.11.16,신의주시건설총계획 검토 및 지도,"최룡해,조용원,김용수,마원춘,정경일",,,,
2018.11.07,쿠바 디아스카넬 의장 환송,"리설주,김영남,최룡해,박봉주,리수용,박태성,리용호,김능오,리룡남,김수길,리영길,노광철",,,,
2018.11.06,쿠바 디아스카넬 의장 재접견 및 대집단체조와 예술공연 관람,"리설주,김영남,최룡해,박봉주,리수용,박태성,리용호,김능오,김수길,리영길,노광철",,,,
2018.11.05,쿠바 미겔 마리오 디아스 카넬 국가평의회 의장 겸 내각 수상 영접,"리설주,김영남,최룡해,박봉주,리수용,박태성,리용호,김능오,리룡남,김수길,리영길,노광철",,,,
2018.11.04,北·中예술인 합동공연 관람,"최룡해,리수용,김여정,박춘남",,,,
2018.11.01,양덕군 온천관광지구 건설현장 현지지도,"최룡해,조용원,김용수,마원춘",,,,
2018.11.01,"원산갈마해안관광지구 건설장, 명사십리 건설현장 현지지도","최룡해,조용원,김용수,마원춘",,,,
2018.10.30,삼지연군 읍지구 건설현장 현지지도,"최룡해,조용원,김용수,마원춘",,,,
2018.10.11,삼지연관현악단 전용극장 개건 기념 현지지도 및 기념촬영,"한광상,조용원,권혁봉,마원춘",,,,
2018.10.11,당 창건 73주년 기념 금수산태양궁전 방문,"최룡해,박광호,리만건,김여정,리재일",,,,
2018.10.08,美 마이크 폼페이오 국무장관 접견,,,,,
2018.09.29,창립 70주년 맞이 김책공업종합대학 방문,"박태성,최동명",,,,
2018.09.19,남북정상회담,"리설주,김영남,최룡해,김영철,리수용,박태성,리용호,김수길,노광철,김여정,김능오,리선권,박명철,장혁,김경준,강영수,차희림,리상원,리성국",,,,
2018.09.11,中 당 및 정부대표단 위한 환영공연 및 연회 마련,"리설주,최룡해,박광호,리수용,박태성,김여정",,,,
2018.09.10,中 시진핑 주석의 특별대표로 방문한  리잔수(전인대 상무위원장) 접견,,,,,
2018.09.10,北 정권수립일 70돌 경축 &lt;빛나는 조국&gt; 관람,"리설주,김영남,최룡해,박봉주",,,,
2018.09.10,北 정권수립일 70돌 경축 중앙보고대회 진행,"김영남,최룡해,박봉주,양형섭,박광호,리수용,김평해,태종수,오수용,안정수,박태성,김영철,리용호,최부일,로두철,최휘,박태덕,정경택,조연준,리만건,김능오,김영대,리명수,김수길,리영길,노광철",,,,
2018.09.10,北 정권수립일 70돌 경축 열병식 및 평양군중시위 참석,"김영남,최룡해,박봉주",,,,
2018.09.09,러시아 연방평의회 의장 접견,,,,,
2018.09.09,北 정권수립일 70돌 즈음 금수산태양궁전 방문,"김영남,최룡해,박봉주",,,,
2018.09.06,南 문재인대통령의 특사대표단 성원들 접견,김영철,,,,
2018.09.05,故 주규창동지 조문,"태종수,김평해,리병철,홍승무,홍영칠,강봉훈",,,,
2018.08.21,故 김영춘 인민무력성 총고문 영결식 참가,김수길,,,,
2018.08.21,묘향산 의료기구공장 현지지도,"황병서,조용원,김영환,오일정,김용수,마원춘",,,,
2018.08.19,삼지연군 건설장 현지지도,"리설주,조용원,김영환,김용수,마원춘",,,,
2018.08.18,함북 경성군 온포온실농장 건설 준비사업 현지지도,"황병서,조용원,오일정,김용수,마원춘",,,,
2018.08.17,평남 양덕군 안의 온천지구 현지지도,"김수길,황병서,조용원,오일정,김용수,마원춘",,,,
2018.08.17,원산갈마해안관광지구건설장 현지지도,"리설주,김수길,황병서,조용원,오일정,김용수,마원춘",,,,
2018.08.13,연풍호방류어업사업소 현지지도,"조용원,오일정,김용수",,,,
2018.08.13,운곡지구 종합목장 현지지도,"황병서,조용원,오일정,김용수",,,,
